이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8801013777468_001.jpg,큐원)상쾌환부스터제로100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047284642_001.jpg,동원)비타C자몽에이드500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047289685_002.jpg,동원)양반오미자차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809848280085_001.jpg,동원)양반유자제로500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047290421_001.jpg,유어스)동원보성녹차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047284598_001.jpg,동원)보성홍차샤인머스캣500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047284499_002.jpg,동원)보성홍차아이스티레몬500,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047284482_003.jpg,동원)보성홍차아이스티복숭아500,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047284550_001.jpg,동원)보성홍차아이스티애플500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047290100_003.jpg,동원)쿨피스톡제로복숭아340ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047290117_003.jpg,동원)쿨피스톡제로파인애플340ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8800261383353_001.jpg,니케)아니스의스파클링레몬500ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495079131_002.jpg,넷플릭스)에너지레몬라임500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495079148_002.jpg,넷플릭스)에너지오렌지망고500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8800261381359_001.jpg,오징어게임)에너지그린멜론500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8800261381342_001.jpg,오징어게임)에너지후르츠펀치500,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495077250_001.jpg,코리안좀비)에너지드링크멜론355,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495077809_001.jpg,델픽)납작복숭아우롱티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495077816_001.jpg,델픽)블루베리아르테미스500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809495078967_001.jpg,델픽)우도땅콩새싹보리차500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155724887_002.jpg,유어스(P)카멜마일드라떼450ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155724870_002.jpg,유어스(P)카멜아메리카노450ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155744861_002.jpg,헬리녹스)예가체프아메리카노500,"2,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155744878_003.jpg,헬리녹스)카피로얄아메리카노500,"2,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155723927_003.jpg,유어스)덴마크드링킹복숭아500ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155742911_002.jpg,유어스)덴마크드링킹샤인머스캣,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155744700_003.jpg,요아정드링킹요거트리치500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155744717_003.jpg,요아정드링킹요거트피치500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155740061_001.JPG,테이크얼라이브망고500,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801155740054_001.JPG,테이크얼라이브자몽500,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382151067_001.jpg,웅진)레몬셔벗에이드제로500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382151074_001.jpg,웅진)애플셔벗에이드제로500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382150206_002.jpg,웅진)자연은말린복숭아500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382150220_001.jpg,웅진)자연은말린자몽500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382149743_002.jpg,웅진)티즐제로자몽블랙티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382148500_002.jpg,웅진)티즐제로피치우롱티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382145769_002.jpg,웅진)결명자차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382135036_037.jpg,웅진)누룽지차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382148449_001.jpg,웅진)옥수수수염차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801382151449_001.jpg,웅진)유기농하늘보리500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801105907605_611.jpg,미닛메이드)레몬에이드350ML,"1,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094326203_001.jpg,미닛메이드)레몬에이드제로350ML,"1,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801105915679_003.jpg,해태)갈배사이다PET500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094502669_006.jpg,조지아)블랙470ML,"2,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094542603_002.jpg,조지아)스위트블랙470ML,"2,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094562601_003.jpg,조지아)콜드브루블랙470ML,"2,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094112707_713.jpg,코카)환타오렌지PET600ML,"2,100",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094132705_003.jpg,코카)환타파인PET600ML,"2,100",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094043278_002.jpg,코카)닥터페퍼제로350ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094963200_003.jpg,코카)스프라이트제로캔350ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094203207_003.jpg,코카)스프라이트캔350ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094063283_002.jpg,코카콜라제로레몬캔350ML,"2,100",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094023218_001.jpg,코카콜라제로제로캔350ML,"2,100",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801094083205_003.jpg,코카콜라제로캔350ML,"2,100",1+1,1+1 행사
